temp,RH,soil moisture,rain
14.42222222,58,31.5531402272437,1
14.25555556,59,36.790117485174,1
13.77222222,60,0.976292010929697,1
13.28333333,63,1.70642210466624,1
8.633333333,87,25.2508658991762,1
11.25,83,24.5842737401549,1
11.18333333,89,40.3912738224565,1
10.69444444,95,10.6884941783525,1
8.961111111,93,5.33956932579719,1
8.2,96,27.8679519067719,1
7.688888889,96,25.4914557154366,1
7.766666667,96,15.1838436590839,1
7.644444444,93,32.9410349745785,1
6.622222222,93,14.1206946401944,1
6.683333333,93,47.0963139597601,1
6.088888889,93,40.1761160057381,1
6.066666667,93,24.5451240677536,1
7.205555556,86,12.8286339857999,1
10.11666667,76,7.9105092763549,1
11.03888889,66,23.3595009400933,1
10.65,70,21.5354867769602,1
10.05,70,25.8713885707639,1
8.794444444,71,44.1696719784556,1
7.855555556,72,49.5050029789674,1
7.244444444,75,2.42588714278898,1
7.2,76,29.7416499517206,1
6.688888889,70,3.55633505525099,1
6.211111111,73,2.78974772024959,1
6.111111111,76,44.6642938071999,1
6.111111111,76,47.9751081073577,1
6.172222222,76,42.7386726136477,1
7.222222222,71,48.7128402337306,1
7.288888889,73,21.8014068705133,1
7.405555556,72,44.7688435297819,1
7.961111111,70,26.6149935195298,1
8.033333333,70,14.695952599288,1
9.077777778,65,24.8963568191665,1
9.05,62,10.8500490806308,1
9.05,65,35.9501915057545,1
9.183333333,65,10.1811127231242,1
9.072222222,70,32.1518145464866,1
7.983333333,75,19.1090033421162,1
8.072222222,75,25.6663845105411,1
7.894444444,82,20.410180957417,1
7.311111111,83,35.1950317438189,1
6.255555556,92,45.2997962904304,1
12.77777778,66,31.3128600447636,1
12.72777778,67,3.53551141139727,1
12.26666667,69,28.9704706071093,1
11.71111111,71,39.4624468411881,1
12.2,59,5.34654689580514,1
12.2,60,29.016285384364,1
11.68888889,68,48.6791407173076,1
11.20555556,77,9.61682470150879,1
8.688888889,93,30.0328500515347,0
12.26666667,85,1.02579819404215,1
12.26666667,85,26.6318012347735,1
12.17222222,80,5.11311869164269,1
12.71111111,83,33.7445625214377,1
12.26666667,99,17.1424688233125,0
9.355555556,96,11.7863246767145,0
9.861111111,96,32.1440096391539,0
12.49444444,91,30.3485760649745,0
12.24444444,89,17.0197785647552,0
11.41666667,92,37.9529280140876,0
10.55555556,95,29.1951173809725,0
10.46666667,93,37.1941031249855,0
9.355555556,96,35.2420824472293,0
12.38333333,80,39.3130867432293,0
10.91111111,99,41.8438104040341,0
14.83888889,82,34.4287461884642,0
18.8,65,41.682684745872,0
21.09444444,49,4.0157668500463,0
14.90555556,72,47.0709604454928,0
13.08333333,87,9.10357324166188,0
12.71111111,89,14.6332797565125,0
12.12777778,89,10.5490866592723,0
11.81111111,84,14.8057184755263,0
12.01666667,80,46.7740081563212,0
12.04444444,80,27.3800240541125,0
9.911111111,99,18.2409629890633,0
13.31111111,82,38.6516689712223,0
12.73333333,83,26.2003255609535,0
9.972222222,92,27.8014553658163,0
15.96111111,79,49.2653336900443,0
15.05,60,2.15873568757554,0
5.933333333,100,41.9431632854616,0
10.40555556,100,32.8692301698399,0
8.816666667,84,19.4291426683122,1
7.888888889,89,35.7203342057297,1
7.8,96,5.68748002724004,1
7.822222222,95,25.0270105722816,1
7.944444444,95,14.4942592010163,1
8.077777778,94,21.2756462811684,1
10.22777778,81,12.1615623389959,1
11.36111111,74,29.6059583382725,1
14.02777778,57,26.005256257435,1
15.08888889,50,13.1050045452882,1
14.95,51,6.19536192782678,1
13.81666667,59,34.4695000577973,1
12.91666667,64,18.2156590599507,1
13.83888889,59,14.4242756384832,1
12.75555556,69,45.0846465516547,1
12.65,74,35.3176718355908,1
11.68888889,80,26.2667999711712,1
10.62777778,88,47.7976389601339,1
5.666666667,91,18.8843751147112,1
10.05,92,47.4733163594684,1
9.977777778,93,22.3054679297471,1
9.777777778,95,39.3841955846075,1
8.661111111,99,23.8086323358857,1
7.55,95,18.3901369375923,1
7.233333333,93,13.5431423796687,1
6.044444444,92,49.8323497692021,1
6.094444444,85,6.50328353173891,1
6.116666667,82,33.7132464030803,1
