temp,Humidity,Pressure (millibars)
9.47222222222222,0.89,1015.13
9.35555555555556,0.86,1015.63
9.37777777777778,0.89,1015.94
8.28888888888889,0.83,1016.41
8.75555555555555,0.83,1016.51
9.22222222222222,0.85,1016.66
7.73333333333333,0.95,1016.72
8.77222222222222,0.89,1016.84
10.8222222222222,0.82,1017.37
13.7722222222222,0.72,1017.22
16.0166666666667,0.67,1017.42
17.1444444444444,0.54,1017.74
17.8,0.55,1017.59
17.3333333333333,0.51,1017.48
18.8777777777778,0.47,1017.17
18.9111111111111,0.46,1016.47
15.3888888888889,0.6,1016.15
15.55,0.63,1016.17
14.2555555555556,0.69,1015.82
13.1444444444444,0.7,1015.83
11.55,0.77,1015.85
11.1833333333333,0.76,1015.77
10.1166666666667,0.79,1015.4
10.2,0.77,1015.51
10.4222222222222,0.62,1014.4
9.91111111111111,0.66,1014.2
11.1833333333333,0.8,1008.71
7.15555555555556,0.79,1014.47
6.11111111111111,0.82,1014.45
6.78888888888889,0.83,1014.49
7.26111111111111,0.85,1014.52
7.8,0.83,1014.16
9.87222222222223,0.78,1014.24
12.2222222222222,0.72,1014.25
15.0944444444444,0.61,1013.96
17.3555555555556,0.52,1013.85
19.0055555555555,0.46,1013.04
20.0444444444444,0.4,1012.22
21.05,0.4,1011.44
21.1833333333333,0.37,1010.52
20.1166666666667,0.4,1009.83
20.2166666666667,0.36,1009.26
20,0.43,1008.76
17.8,0.5,1008.36
16.0611111111111,0.53,1008.11
15.0222222222222,0.55,1008.15
14.4222222222222,0.58,1007.85
14.2555555555556,0.59,1007.89
13.7722222222222,0.6,1007.36
13.2833333333333,0.63,1007.26
8.63333333333333,0.87,1005.1
11.25,0.83,1007.01
11.1833333333333,0.89,1006.73
10.6944444444444,0.95,1006.59
11.1111111111111,0.93,1006.34
11.1111111111111,0.93,1006.09
12.1666666666667,0.82,1005.97
12.7555555555556,0.79,1005.63
13.8388888888889,0.84,1005.83
16.1833333333333,0.73,1005.97
17.5166666666667,0.67,1005.64
17.3833333333333,0.67,1005.2
17.3611111111111,0.71,1005.1
17.2055555555556,0.74,1004.65
15.6333333333333,0.81,1004.04
13.5777777777778,0.9,1004.08
10.9111111111111,0.86,1004.61
8.8,0.99,1004.99
8.96111111111111,0.93,1004.85
8.2,0.96,1004.96
7.68888888888889,0.96,1005.14
7.76666666666666,0.96,1005.05
8.2,0.96,1004.8
8.17777777777778,0.93,1004.89
7.31111111111111,0.82,1007
7.64444444444444,0.93,1004.3
6.62222222222222,0.93,1003.68
6.68333333333333,0.93,1003.86
6.08888888888889,0.93,1003.57
6.06666666666667,0.93,1003.96
6.14444444444445,0.93,1004.1
7.13333333333334,0.8,1004.26
7.20555555555556,0.86,1004.18
7.56666666666667,0.84,1004.23
8.9,0.77,1004.47
9.96111111111111,0.71,1004.52
9.88888888888889,0.71,1004.29
11.0666666666667,0.71,1003.93
10.1166666666667,0.76,1004
11.0388888888889,0.66,1004.3
10.65,0.7,1004
10.05,0.7,1004.39
9.9,0.66,1005.48
8.79444444444444,0.71,1005.89
7.82777777777778,0.72,1006.37
7.85555555555556,0.72,1006.56
7.31666666666667,0.75,1007.07
7.24444444444444,0.75,1007.37
5.43888888888889,0.88,1012.23
7.2,0.76,1007.28
6.68888888888889,0.7,1007.18
6.21111111111111,0.73,1007.39
6.11111111111111,0.76,1007.67
6.11111111111111,0.76,1007.98
6.17222222222222,0.76,1008.57
7.22222222222222,0.71,1008.87
7.28888888888889,0.73,1009.44
7.40555555555556,0.72,1010.03
7.96111111111111,0.7,1010.22
8.03333333333334,0.7,1010.39
9.07777777777778,0.65,1010.24
9.05,0.62,1010
9.05,0.65,1009.98
9.18333333333333,0.65,1010.05
9.07222222222222,0.7,1010.1
7.98333333333333,0.75,1010.39
8.07222222222222,0.75,1010.91
7.89444444444445,0.82,1011.32
7.31111111111111,0.83,1011.61
7.33888888888889,0.84,1011.97
6.62222222222222,0.85,1012.22
6.06666666666667,0.88,1012.74
8.33888888888889,0.88,1015.35
5.18333333333333,0.91,1013.29
3.72222222222222,0.94,1013.39
4.85555555555556,0.93,1013.45
5.21111111111111,0.92,1013.4
6.25555555555555,0.92,1013.81
7.79444444444445,0.87,1014.7
10.05,0.76,1014.67
12.2,0.66,1014.66
12.7,0.63,1014.8
13.9333333333333,0.58,1014.47
15.0944444444444,0.59,1014.16
15.15,0.5,1014.07
16.1777777777778,0.44,1013.34
16.25,0.55,1012.72
16.2944444444444,0.5,1012.38
16.1,0.56,1012.38
12.9555555555556,0.68,1012.72
13.85,0.64,1013.42
12.7777777777778,0.69,1014.41
12.15,0.72,1014.89
10.6777777777778,0.81,1014.91
10.4444444444444,0.83,1014.75
9.82222222222222,0.8,1015.55
11.0277777777778,0.74,1015.7
7.13888888888889,0.93,1016.43
7.62222222222222,0.89,1016.56
7.62777777777778,0.86,1017.15
7.04444444444444,0.86,1017.37
8.6,0.84,1018.25
9.65,0.84,1019.24
12.1055555555556,0.72,1019.83
12.7777777777778,0.71,1020.51
13.8111111111111,0.65,1020.91
16.0166666666667,0.48,1020.6
17.1277777777778,0.47,1020.39
17.1444444444444,0.43,1020.34
17.7777777777778,0.4,1019.7
17.7777777777778,0.37,1018.89
17.8055555555556,0.43,1018.48
16.1555555555556,0.52,1017.87
14.05,0.63,1017.56
13.0888888888889,0.67,1017.38
12.2888888888889,0.72,1017.58
12.7777777777778,0.66,1017.65
12.7277777777778,0.67,1017.36
12.2666666666667,0.69,1016.8
11.7111111111111,0.71,1016.64
10.8277777777778,0.86,1013.13
12.2,0.59,1014.79
12.2,0.6,1014.25
11.6888888888889,0.68,1013.95
11.2055555555556,0.77,1013.63
11.1333333333333,0.77,1013.27
11.4388888888889,0.77,1013.56
13.0333333333333,0.81,1012.85
17.2444444444444,0.62,1012.15
17.7388888888889,0.53,1011.71
17.8444444444445,0.56,1011.28
18.8611111111111,0.56,1010.99
18.6666666666667,0.56,1010.93
17.8222222222222,0.56,1010.7
17.8,0.59,1010.52
17.35,0.57,1010.69
16.0666666666667,0.67,1010.86
14.9333333333333,0.73,1011.14
13.9222222222222,0.78,1011.64
12.7555555555556,0.84,1012.02
12.7555555555556,0.84,1012.21
12.3722222222222,0.86,1012.33
11.1833333333333,0.93,1012.6
11.6666666666667,0.9,1012.8
8.97777777777778,0.95,1012.66
10.5777777777778,0.93,1012.32
10.5333333333333,0.89,1012.33
10.5888888888889,0.87,1012.55
9.98333333333333,0.89,1012.71
11.0222222222222,0.86,1013.01
13.5388888888889,0.75,1013.23
13.8888888888889,0.68,1013.31
15,0.67,1013.4
17.1833333333333,0.57,1013.27
16.2,0.62,1013.02
17.75,0.56,1013.03
18.4055555555556,0.54,1012.55
17.8222222222222,0.59,1012.03
17.3111111111111,0.57,1011.81
17.5055555555556,0.55,1011.33
17.2666666666667,0.54,1011.2
15.1388888888889,0.61,1011.5
13.25,0.69,1011.76
12.2944444444444,0.72,1012.01
10.7,0.79,1012.31
9.85555555555556,0.85,1012.51
9.52222222222222,0.88,1012.52
8.40555555555556,0.92,1012.61
13.0111111111111,0.82,1011.27
7.73333333333333,0.96,1012.54
6.13888888888889,0.96,1012.44
6.47222222222222,0.95,1012.62
6.62777777777778,0.96,1012.75
8.68888888888889,0.93,1012.96
11.9944444444444,0.81,1013.38
13.7666666666667,0.78,1013.14
15.0888888888889,0.77,1013.33
16.4555555555556,0.68,1013.56
17.3111111111111,0.62,1013.61
17.8722222222222,0.64,1013.11
19.0388888888889,0.47,1012.69
18.9777777777778,0.51,1012.2
19.0055555555555,0.55,1011.7
19.0111111111111,0.53,1011.4
17.8666666666667,0.64,1011.32
17.2666666666667,0.62,1011.23
16.1888888888889,0.61,1011.5
14.8833333333333,0.72,1012.05
14.3277777777778,0.75,1012.15
14.5111111111111,0.75,1012.09
14.3722222222222,0.75,1011.83
14.8777777777778,0.72,1011.45
10.4055555555556,0.92,1012.05
12.8222222222222,0.83,1011.18
12.8,0.85,1010.07
12.8277777777778,0.86,1009.83
12.2666666666667,0.85,1009.8
12.2666666666667,0.85,1009.99
12.1833333333333,0.82,1010.21
12.1722222222222,0.8,1010.41
12.7111111111111,0.83,1010.33
15.6055555555556,0.78,1010.43
16.0222222222222,0.78,1010.29
17.2,0.67,1010.1
17.2166666666667,0.71,1009.96
17.8277777777778,0.69,1009.86
17.8277777777778,0.69,1009.47
17.7333333333333,0.69,1009.63
16.2722222222222,0.71,1009.39
13.1666666666667,0.93,1011.07
13.2555555555556,0.93,1011.23
13.0111111111111,0.93,1011.35
12.4555555555556,0.91,1011.67
12.4888888888889,0.9,1011.76
9.55555555555556,0.8,1015.68
10.6222222222222,0.79,1015.41
8.72222222222222,0.93,1014.98
10.5333333333333,0.77,1015.18
9.44444444444444,0.83,1014.7
9.88888888888889,0.83,1014.64
10.3666666666667,0.78,1014.31
8.88888888888889,0.89,1014.63
9.97777777777778,0.84,1014.82
12.2,0.73,1014.82
13.9611111111111,0.67,1015
14.9444444444444,0.67,1014.9
16.1833333333333,0.71,1014.35
16.3666666666667,0.61,1014.51
17.3722222222222,0.57,1014.32
17.6722222222222,0.51,1013.93
17.7222222222222,0.53,1013.45
16.2388888888889,0.61,1013.43
14.0666666666667,0.71,1013.58
13.9555555555556,0.76,1013.24
12.2888888888889,0.8,1013.7
10.0222222222222,0.86,1014.14
9.37777777777778,0.86,1014.34
9.41666666666667,0.9,1014.6
11.8277777777778,0.92,1011.68
10.7611111111111,0.91,1011.98
12.1555555555556,0.95,1015.64
9.67222222222222,0.94,1012.26
8.15,0.94,1012.63
10.2,0.95,1012.62
10.1166666666667,0.99,1012.85
10.1611111111111,0.99,1013.61
11.2444444444444,0.98,1013.9
12.2444444444444,0.99,1014.31
13.9111111111111,0.92,1014.43
15.6166666666667,0.82,1014.73
15.0722222222222,0.86,1014.92
15.0722222222222,0.82,1014.73
14.2666666666667,0.87,1014.92
16.0166666666667,0.81,1014.76
15.0277777777778,0.86,1014.37
13.9444444444444,0.89,1014.83
12.9166666666667,0.95,1015.11
12.8944444444444,0.95,1015.14
12.4,0.98,1015.5
12.2666666666667,0.99,1015.76
12.2222222222222,0.96,1016.35
11.25,0.96,1016.38
11.5277777777778,0.96,1016.43
11.5388888888889,0.96,1016.56
